Case,Mode,Distance,Time
126,Car,2.6,11
127,Walk,1.5,19
128,Walk,4.3,56
129,Bus,5.4,47
130,Cycle,2.7,10
131,Cycle,1.4,6
132,Car,3.4,14
133,Bas,1.6,16
134,Bus,1.3,12
135,Bus,4.6,40
136,Bus,2.7,20
137,Bus,1.4,7
138,Cycle,2.8,9
139,Cycle,4.5,16
140,Car,4.8,20
141,Bus,1.8,15
142,Bus,1.3,12
143,Bus,3.4,27
144,Car,4.1,18
145,Walk,2.4,31
146,Bus,2.1,16
147,Bus,4.6,43
148,Car,2.6,11
149,Walk,3.2,42
150,Walk,3.9,50
151,Car,4.7,19
152,Cycle,0.7,2
153,Cycle,1.9,8
154,Car,4.1,16
155,Car,5.1,21
156,Bus,4.4,41
157,Car,1.1,4
158,Cycle,1,3
159,Car,4.7,21
160,Walk,0.2,2
161,Car,1.7,6
162,Car,3,12
163,Bus,2.8,22
164,Cycle,1.5,6
165,Cycle,1.9,7
166,Car,4.7,19
167,Cycle,3.7,14
168,Cycle,0.8,2
169,Car,1.1,4
170,Car,4.2,16
171,Cra,1.5,8
172,Bus,3.2,28
173,Bus,5.4,47
174,Car,1.2,4
175,Car,4.8,20
176,Cycle,3.4,12
177,Cycle,2.3,9
178,Bus,2.6,18
179,Car,2.5,10
180,Bus,4.7,44
181,Car,5.1,22
182,Walk,3.8,48
183,Walk,1.2,16
184,Bus,1.5,7
185,Cycle,4.9,NaN
186,Bus,2.7,23
187,Walk,1.2,16
188,Bus,1.5,15
189,Car,2.6,10
190,Bus,4.5,39
191,Walk,2.5,33
192,Bus,3,25
193,Walk,1.2,16
194,Walk,2.9,39
195,Cycle,2.5,10
196,Walk,99,57
197,Bus,5,41
198,Bus,2.2,19
199,Cycle,2.6,10
200,Walk,4.3,56
201,Cycle,4.8,18
202,Cycle,1.6,6
203,Cycle,0.8,3
204,Car,5,21
205,Cycle,1.5,6
206,Car,5.5,22
207,Car,1.4,6
208,Cycle,1.8,7
209,Car,5.2,22
210,Car,1.5,6
211,Walk,2.3,30
212,Car,3.7,16
213,Bus,4.9,44
214,Walk,4.2,54
215,Walk,3.5,46
216,Cycle,4.1,15
217,Bus,2.4,19
218,Bus,5.3,44
219,Cycle,1.7,6
220,Walk,0.8,10
221,Bus,5,44
222,Cycle,4,15
223,Walk,4.3,55
224,Cycle,1.3,4
225,Cycle,4,15
226,Car,3.7,15
227,Cycle,3.6,13
228,Car,1.4,5
229,Cycle,2.8,11
230,Cycle,2,8
231,Car,2.6,11
232,Bus,1.8,17
233,Car,3,12
234,Walk,1.5,20
235,Car,4.6,19
236,Bus,4.2,39
237,Cycle,2.4,9
238,Car,1.6,7
239,Cycle,4.9,18
240,Bus,2.9,24
241,Cycle,2.5,9
242,Car,5.5,23
243,Walk,1.1,16
244,Walk,0.8,11
245,Cycle,1.5,6
246,Bus,1,8
247,Car,3.9,17
248,Bus,1.8,13
249,Bus,2.9,23
250,Bus,2.7,19
251,Car,4.2,19
252,Bus,3.2,25
253,Car,3.9,16
254,Car,4.5,19
255,Bus,1.2,9
256,Cycle,3.3,13
257,Car,5.3,23
258,Car,1.7,8
259,Walk,3.7,47
260,Bus,2,15
261,Walk,0.3,4
262,Car,1.4,5
263,Bus,4.7,43
264,Cycle,3.4,14
265,Bus,2.2,19
266,Bus,4.7,43
267,Car,4.5,18
268,Cycle,4.1,15
269,Bus,4.6,41
270,Bus,1.3,12
271,Bus,5,42
272,Cycle,1.9,8
273,Car,3.2,15
274,Cycle,3.7,14
275,Cycle,1.2,6
276,Car,3,13
277,Walt,0.8,11
278,Car,3.6,15
279,Car,3.5,15
280,Car,1.3,7
281,Car,1.8,8
